adult-alpha_1-beta_1-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
adult-alpha_1-beta_1-gamma_1,1572002088,504,2.7675,2.9853,0.0,1.0,0.2178,1.0
adult-alpha_1-beta_1-gamma_1,1572002095,505,0.1821,0.5502,0.0,1.0,0.3681,0.83
adult-alpha_1-beta_1-gamma_1,1572002102,506,0.1973,0.6533,0.0,1.0,0.456,0.83
adult-alpha_1-beta_1-gamma_1,1572002110,507,-0.1552,0.359,0.0,1.0,0.5143,0.83
adult-alpha_1-beta_1-gamma_1,1572002117,508,-0.4609,0.4828,0.0,1.0,0.9437,0.67
adult-alpha_1-beta_1-gamma_1,1572002124,509,2.0267,2.3452,0.0,1.0,0.3186,1.0
adult-alpha_1-beta_1-gamma_1,1572002131,510,-0.0756,0.3824,0.0,1.0,0.4579,0.83
adult-alpha_1-beta_1-gamma_1,1572002139,511,0.4259,0.7985,0.0,1.0,0.3726,0.83
adult-alpha_1-beta_1-gamma_1,1572002146,512,0.345,0.9139,0.0,1.0,0.5689,0.5
adult-alpha_1-beta_1-gamma_1,1572002153,513,0.0751,0.4546,0.0,1.0,0.3795,0.83
adult-alpha_1-beta_1-gamma_1,1572002161,514,2.6582,3.067,0.0,1.0,0.4088,0.83
adult-alpha_1-beta_1-gamma_1,1572002168,515,0.2056,0.5015,0.0,1.0,0.2959,0.83
adult-alpha_1-beta_1-gamma_1,1572002175,516,-0.1736,0.332,0.0,1.0,0.5056,0.83
adult-alpha_1-beta_1-gamma_1,1572002183,517,0.02,0.6059,0.0,1.0,0.586,0.67
adult-alpha_1-beta_1-gamma_1,1572002190,518,-0.0676,0.5963,0.0,1.0,0.664,0.67
adult-alpha_1-beta_1-gamma_1,1572002197,519,-0.0048,0.4302,0.0,1.0,0.435,0.83
adult-alpha_1-beta_1-gamma_1,1572002204,520,-0.031,0.4028,0.0,1.0,0.4338,0.67
adult-alpha_1-beta_1-gamma_1,1572002212,521,0.6735,1.0562,0.0,1.0,0.3827,0.83
adult-alpha_1-beta_1-gamma_1,1572002219,522,-0.3948,0.3949,0.0,1.0,0.7897,0.5
adult-alpha_1-beta_1-gamma_1,1572002226,523,0.5141,0.9587,0.0,1.0,0.4446,0.83
adult-alpha_1-beta_1-gamma_1,1572002234,524,0.1339,0.5077,0.0,1.0,0.3737,0.83
adult-alpha_1-beta_1-gamma_1,1572002241,525,-0.1735,0.3544,0.0,1.0,0.5279,0.67
adult-alpha_1-beta_1-gamma_1,1572002248,526,-0.0053,0.3807,0.0,1.0,0.386,0.83
adult-alpha_1-beta_1-gamma_1,1572002256,527,0.0849,0.5662,0.0,1.0,0.4813,0.67
adult-alpha_1-beta_1-gamma_1,1572002263,528,0.0634,0.5014,0.0,1.0,0.438,0.5
adult-alpha_1-beta_1-gamma_1,1572002270,529,-0.2445,0.3708,0.0,1.0,0.6154,0.67
adult-alpha_1-beta_1-gamma_1,1572002278,530,-0.0723,0.3813,0.0,1.0,0.4536,0.67
adult-alpha_1-beta_1-gamma_1,1572002285,531,-0.075,0.3544,0.0,1.0,0.4294,0.83
adult-alpha_1-beta_1-gamma_1,1572002292,532,-0.0009,0.3554,0.0,1.0,0.3563,0.67
adult-alpha_1-beta_1-gamma_1,1572002299,533,0.7816,1.1958,0.0,1.0,0.4142,1.0
adult-alpha_1-beta_1-gamma_1,1572002307,534,0.1076,0.8563,0.0,1.0,0.7487,0.5
adult-alpha_1-beta_1-gamma_1,1572002314,535,-0.0041,0.601,0.0,1.0,0.605,0.33
adult-alpha_1-beta_1-gamma_1,1572002321,536,-0.1172,0.3057,0.0,1.0,0.4229,0.83
adult-alpha_1-beta_1-gamma_1,1572002328,537,0.0907,0.298,0.0,1.0,0.2072,1.0
adult-alpha_1-beta_1-gamma_1,1572002336,538,0.968,1.4891,0.0,1.0,0.521,0.83
adult-alpha_1-beta_1-gamma_1,1572002343,539,0.7039,1.4269,0.0,1.0,0.723,0.67
adult-alpha_1-beta_1-gamma_1,1572002350,540,0.0937,0.5973,0.0,1.0,0.5036,0.67
adult-alpha_1-beta_1-gamma_1,1572002358,541,0.4717,0.9291,0.0,1.0,0.4573,0.83
adult-alpha_1-beta_1-gamma_1,1572002365,542,-0.7826,0.5164,0.0,1.0,1.299,0.33
adult-alpha_1-beta_1-gamma_1,1572002372,543,-0.1412,0.618,0.0,1.0,0.7593,0.33
adult-alpha_1-beta_1-gamma_1,1572002379,544,-0.0737,0.4899,0.0,1.0,0.5636,0.67
adult-alpha_1-beta_1-gamma_1,1572002387,545,-0.0517,0.3367,0.0,1.0,0.3883,0.67
adult-alpha_1-beta_1-gamma_1,1572002394,546,0.114,0.5537,0.0,1.0,0.4398,0.83
adult-alpha_1-beta_1-gamma_1,1572002401,547,-0.3794,0.7915,0.0,1.0,1.1709,0.33
adult-alpha_1-beta_1-gamma_1,1572002409,548,0.0513,0.4704,0.0,1.0,0.4191,0.67
adult-alpha_1-beta_1-gamma_1,1572002416,549,0.8011,1.401,0.0,1.0,0.5999,0.67
adult-alpha_1-beta_1-gamma_1,1572002423,550,1.7104,2.2635,0.0,1.0,0.5531,0.83
adult-alpha_1-beta_1-gamma_1,1572002431,551,0.1082,0.4147,0.0,1.0,0.3065,1.0
adult-alpha_1-beta_1-gamma_1,1572002438,552,0.1374,0.3431,0.0,1.0,0.2057,1.0
adult-alpha_1-beta_1-gamma_1,1572002445,553,1.1789,1.7724,0.0,1.0,0.5935,0.83
adult-alpha_1-beta_1-gamma_1,1572002452,554,0.3341,0.9468,0.0,1.0,0.6127,0.67
adult-alpha_1-beta_1-gamma_1,1572002460,555,0.1477,0.4792,0.0,1.0,0.3315,0.83
adult-alpha_1-beta_1-gamma_1,1572002467,556,-0.0465,0.4815,0.0,1.0,0.528,0.67
adult-alpha_1-beta_1-gamma_1,1572002474,557,0.0054,0.3153,0.0,1.0,0.3099,0.83
adult-alpha_1-beta_1-gamma_1,1572002481,558,-0.4604,0.4537,0.0,1.0,0.9141,0.33
adult-alpha_1-beta_1-gamma_1,1572002489,559,0.3576,0.698,0.0,1.0,0.3404,1.0
adult-alpha_1-beta_1-gamma_1,1572002496,560,0.1722,0.5926,0.0,1.0,0.4204,0.83
adult-alpha_1-beta_1-gamma_1,1572002503,561,0.411,1.0558,0.0,1.0,0.6448,0.5
adult-alpha_1-beta_1-gamma_1,1572002511,562,0.0928,0.3,0.0,1.0,0.2073,1.0
adult-alpha_1-beta_1-gamma_1,1572002518,563,0.091,0.3896,0.0,1.0,0.2986,1.0
adult-alpha_1-beta_1-gamma_1,1572002525,564,0.232,0.7481,0.0,1.0,0.5161,0.67
adult-alpha_1-beta_1-gamma_1,1572002533,565,0.3815,0.9482,0.0,1.0,0.5667,0.67
adult-alpha_1-beta_1-gamma_1,1572002540,566,0.0883,0.6757,0.0,1.0,0.5874,0.67
adult-alpha_1-beta_1-gamma_1,1572002547,567,0.2698,0.4523,0.0,1.0,0.1824,0.83
adult-alpha_1-beta_1-gamma_1,1572002554,568,0.6613,1.0936,0.0,1.0,0.4322,0.83
adult-alpha_1-beta_1-gamma_1,1572002562,569,0.4954,0.7578,0.0,1.0,0.2623,1.0
adult-alpha_1-beta_1-gamma_1,1572002569,570,-0.2828,0.5153,0.0,1.0,0.7981,0.33
adult-alpha_1-beta_1-gamma_1,1572002576,571,0.3861,0.8348,0.0,1.0,0.4487,0.83
adult-alpha_1-beta_1-gamma_1,1572002583,572,0.0659,0.5349,0.0,1.0,0.469,0.83
adult-alpha_1-beta_1-gamma_1,1572002591,573,1.627,2.2409,0.0,1.0,0.6139,0.5
adult-alpha_1-beta_1-gamma_1,1572002598,574,1.693,2.3281,0.0,1.0,0.6351,0.67
adult-alpha_1-beta_1-gamma_1,1572002605,575,-0.1177,0.3524,0.0,1.0,0.4701,0.67
adult-alpha_1-beta_1-gamma_1,1572002613,576,2.8362,3.5217,0.0,1.0,0.6855,0.67
adult-alpha_1-beta_1-gamma_1,1572002620,577,0.9101,1.916,0.0,1.0,1.0059,0.67
adult-alpha_1-beta_1-gamma_1,1572002628,578,-0.144,0.3992,0.0,1.0,0.5432,0.83
adult-alpha_1-beta_1-gamma_1,1572002635,579,0.1209,0.3928,0.0,1.0,0.272,1.0
adult-alpha_1-beta_1-gamma_1,1572002642,580,0.0491,0.5042,0.0,1.0,0.4552,0.67
adult-alpha_1-beta_1-gamma_1,1572002650,581,0.3044,0.5912,0.0,1.0,0.2868,1.0
adult-alpha_1-beta_1-gamma_1,1572002657,582,0.134,0.5018,0.0,1.0,0.3678,0.83
adult-alpha_1-beta_1-gamma_1,1572002664,583,0.0138,0.4027,0.0,1.0,0.389,0.83
adult-alpha_1-beta_1-gamma_1,1572002671,584,0.4834,1.3685,0.0,1.0,0.885,0.17
adult-alpha_1-beta_1-gamma_1,1572002679,585,-0.1643,0.3535,0.0,1.0,0.5178,0.67
adult-alpha_1-beta_1-gamma_1,1572002686,586,-0.2367,0.2655,0.0,1.0,0.5022,0.5
adult-alpha_1-beta_1-gamma_1,1572002693,587,0.1011,1.1314,0.0,1.0,1.0303,0.33
adult-alpha_1-beta_1-gamma_1,1572002701,588,-0.0854,0.5038,0.0,1.0,0.5892,0.67
adult-alpha_1-beta_1-gamma_1,1572002708,589,-0.6609,0.3711,0.0,1.0,1.032,0.5
adult-alpha_1-beta_1-gamma_1,1572002715,590,-0.1031,0.6232,0.0,1.0,0.7263,0.67
adult-alpha_1-beta_1-gamma_1,1572002723,591,-0.1432,0.4165,0.0,1.0,0.5596,0.67
adult-alpha_1-beta_1-gamma_1,1572002730,592,0.2716,0.7453,0.0,1.0,0.4736,0.67
adult-alpha_1-beta_1-gamma_1,1572002737,593,-0.1641,0.3549,0.0,1.0,0.519,0.83
adult-alpha_1-beta_1-gamma_1,1572002744,594,0.2679,0.5013,0.0,1.0,0.2334,1.0
adult-alpha_1-beta_1-gamma_1,1572002751,595,0.3806,0.9251,0.0,1.0,0.5444,0.83
adult-alpha_1-beta_1-gamma_1,1572002759,596,0.0041,0.3315,0.0,1.0,0.3274,0.83
adult-alpha_1-beta_1-gamma_1,1572002766,597,0.6436,1.3212,0.0,1.0,0.6776,0.83
adult-alpha_1-beta_1-gamma_1,1572002773,598,-0.2436,0.4665,0.0,1.0,0.7101,0.83
adult-alpha_1-beta_1-gamma_1,1572002781,599,0.7149,0.893,0.0,1.0,0.1781,1.0
adult-alpha_1-beta_1-gamma_1,1572002788,600,0.7834,1.1568,0.0,1.0,0.3734,0.83
adult-alpha_1-beta_1-gamma_1,1572002795,601,-0.2455,0.4104,0.0,1.0,0.6558,0.67
adult-alpha_1-beta_1-gamma_1,1572002802,602,-0.2434,0.3321,0.0,1.0,0.5756,0.67
adult-alpha_1-beta_1-gamma_1,1572002809,603,1.6871,2.1983,0.0,1.0,0.5112,0.67
adult-alpha_1-beta_1-gamma_1,1572002817,604,0.3112,0.6304,0.0,1.0,0.3192,1.0
adult-alpha_1-beta_1-gamma_1,1572002824,605,0.0374,0.7307,0.0,1.0,0.6933,0.83
adult-alpha_1-beta_1-gamma_1,1572002831,606,1.1066,1.4594,0.0,1.0,0.3528,1.0
adult-alpha_1-beta_1-gamma_1,1572002839,607,0.2493,0.4965,0.0,1.0,0.2472,1.0
adult-alpha_1-beta_1-gamma_1,1572002846,608,-0.1421,0.3438,0.0,1.0,0.4859,0.67
adult-alpha_1-beta_1-gamma_1,1572002853,609,0.1211,0.5051,0.0,1.0,0.384,0.83
adult-alpha_1-beta_1-gamma_1,1572002861,610,-0.1448,0.562,0.0,1.0,0.7069,0.5
adult-alpha_1-beta_1-gamma_1,1572002868,611,-0.2686,0.5218,0.0,1.0,0.7904,0.33
adult-alpha_1-beta_1-gamma_1,1572002875,612,-0.1302,0.4422,0.0,1.0,0.5724,0.5
adult-alpha_1-beta_1-gamma_1,1572002882,613,0.0077,0.4877,0.0,1.0,0.4801,0.67
adult-alpha_1-beta_1-gamma_1,1572002890,614,-0.4739,0.3833,0.0,1.0,0.8572,0.17
adult-alpha_1-beta_1-gamma_1,1572002897,615,-0.1081,0.4842,0.0,1.0,0.5923,0.5
adult-alpha_1-beta_1-gamma_1,1572002904,616,0.0032,0.4012,0.0,1.0,0.398,1.0
adult-alpha_1-beta_1-gamma_1,1572002912,617,-0.0118,0.4638,0.0,1.0,0.4756,0.67
adult-alpha_1-beta_1-gamma_1,1572002919,618,0.5431,0.872,0.0,1.0,0.3288,0.83
adult-alpha_1-beta_1-gamma_1,1572002927,619,0.1666,0.6752,0.0,1.0,0.5087,0.83
adult-alpha_1-beta_1-gamma_1,1572002934,620,0.7799,1.3282,0.0,1.0,0.5483,0.67
adult-alpha_1-beta_1-gamma_1,1572002941,621,0.8238,1.3589,0.0,1.0,0.5351,0.5
adult-alpha_1-beta_1-gamma_1,1572002949,622,0.0056,0.4283,0.0,1.0,0.4226,0.67
adult-alpha_1-beta_1-gamma_1,1572002956,623,1.5497,1.9187,0.0,1.0,0.369,1.0
adult-alpha_1-beta_1-gamma_1,1572002963,624,0.0566,0.7337,0.0,1.0,0.677,0.67
adult-alpha_1-beta_1-gamma_1,1572002970,625,-0.2549,0.4378,0.0,1.0,0.6927,0.5
adult-alpha_1-beta_1-gamma_1,1572002978,626,-0.0885,0.7233,0.0,1.0,0.8118,0.5
adult-alpha_1-beta_1-gamma_1,1572002985,627,0.8266,1.1498,0.0,1.0,0.3231,0.83
adult-alpha_1-beta_1-gamma_1,1572002992,628,0.2012,0.8819,0.0,1.0,0.6806,0.33
adult-alpha_1-beta_1-gamma_1,1572002999,629,0.3527,1.0689,0.0,1.0,0.7163,0.5
adult-alpha_1-beta_1-gamma_1,1572003007,630,-0.0345,0.6067,0.0,1.0,0.6413,0.83
adult-alpha_1-beta_1-gamma_1,1572003014,631,-0.0726,0.4394,0.0,1.0,0.512,0.83
adult-alpha_1-beta_1-gamma_1,1572003022,632,0.1293,0.7876,0.0,1.0,0.6583,0.67
adult-alpha_1-beta_1-gamma_1,1572003029,633,0.9993,1.2794,0.0,1.0,0.2801,1.0
adult-alpha_1-beta_1-gamma_1,1572003036,634,0.2454,0.6574,0.0,1.0,0.412,0.83
adult-alpha_1-beta_1-gamma_1,1572003043,635,1.4317,2.3487,0.0,1.0,0.917,0.33
adult-alpha_1-beta_1-gamma_1,1572003051,636,0.3875,0.8533,0.0,1.0,0.4657,0.83
adult-alpha_1-beta_1-gamma_1,1572003058,637,0.1354,0.6302,0.0,1.0,0.4948,1.0
adult-alpha_1-beta_1-gamma_1,1572003065,638,-0.3461,0.4037,0.0,1.0,0.7498,0.33
adult-alpha_1-beta_1-gamma_1,1572003073,639,-0.0434,0.464,0.0,1.0,0.5074,0.67
adult-alpha_1-beta_1-gamma_1,1572003080,640,2.1918,2.8565,0.0,1.0,0.6647,0.67
adult-alpha_1-beta_1-gamma_1,1572003087,641,0.117,0.5827,0.0,1.0,0.4658,0.83
adult-alpha_1-beta_1-gamma_1,1572003094,642,2.5501,2.9976,0.0,1.0,0.4475,0.67
adult-alpha_1-beta_1-gamma_1,1572003102,643,0.1416,0.6423,0.0,1.0,0.5007,0.67
adult-alpha_1-beta_1-gamma_1,1572003109,644,0.228,0.6367,0.0,1.0,0.4087,0.83
adult-alpha_1-beta_1-gamma_1,1572003116,645,-0.0548,0.4317,0.0,1.0,0.4865,0.83
adult-alpha_1-beta_1-gamma_1,1572003124,646,-0.2721,0.4303,0.0,1.0,0.7024,0.83
adult-alpha_1-beta_1-gamma_1,1572003131,647,-0.119,0.5423,0.0,1.0,0.6613,0.67
adult-alpha_1-beta_1-gamma_1,1572003138,648,0.0897,0.3959,0.0,1.0,0.3063,0.83
adult-alpha_1-beta_1-gamma_1,1572003146,649,-0.1116,0.4184,0.0,1.0,0.53,0.83
adult-alpha_1-beta_1-gamma_1,1572003153,650,0.7292,1.2137,0.0,1.0,0.4845,0.83
adult-alpha_1-beta_1-gamma_1,1572003160,651,0.0146,0.2943,0.0,1.0,0.2797,1.0
adult-alpha_1-beta_1-gamma_1,1572003167,652,0.0574,0.4987,0.0,1.0,0.4414,0.67
adult-alpha_1-beta_1-gamma_1,1572003175,653,-0.3783,0.3682,0.0,1.0,0.7466,0.5
adult-alpha_1-beta_1-gamma_1,1572003182,654,0.0858,0.6301,0.0,1.0,0.5442,0.67
adult-alpha_1-beta_1-gamma_1,1572003190,655,0.2112,0.7018,0.0,1.0,0.4907,0.83
adult-alpha_1-beta_1-gamma_1,1572003197,656,4.0593,4.3379,0.0,1.0,0.2786,0.83
adult-alpha_1-beta_1-gamma_1,1572003204,657,0.1832,0.5695,0.0,1.0,0.3863,0.83
adult-alpha_1-beta_1-gamma_1,1572003211,658,0.5176,0.858,0.0,1.0,0.3405,0.67
adult-alpha_1-beta_1-gamma_1,1572003219,659,0.3764,0.6439,0.0,1.0,0.2674,0.83
adult-alpha_1-beta_1-gamma_1,1572003226,660,1.1992,1.6852,0.0,1.0,0.486,0.67
adult-alpha_1-beta_1-gamma_1,1572003233,661,0.1968,0.4088,0.0,1.0,0.212,0.83
adult-alpha_1-beta_1-gamma_1,1572003241,662,-0.3784,0.5,0.0,1.0,0.8784,0.5
adult-alpha_1-beta_1-gamma_1,1572003248,663,-0.1212,0.5155,0.0,1.0,0.6366,0.5
adult-alpha_1-beta_1-gamma_1,1572003255,664,0.2283,0.8838,0.0,1.0,0.6555,0.67
adult-alpha_1-beta_1-gamma_1,1572003262,665,0.4875,0.9418,0.0,1.0,0.4543,0.83
adult-alpha_1-beta_1-gamma_1,1572003270,666,-0.0921,0.5638,0.0,1.0,0.656,0.67
adult-alpha_1-beta_1-gamma_1,1572003277,667,-0.2105,0.49,0.0,1.0,0.7005,0.67
adult-alpha_1-beta_1-gamma_1,1572003284,668,0.0882,0.6191,0.0,1.0,0.5309,0.83
adult-alpha_1-beta_1-gamma_1,1572003291,669,0.3248,0.5282,0.0,1.0,0.2034,1.0
adult-alpha_1-beta_1-gamma_1,1572003299,670,0.1242,0.5922,0.0,1.0,0.468,0.67
adult-alpha_1-beta_1-gamma_1,1572003306,671,0.1688,0.5963,0.0,1.0,0.4274,0.83
adult-alpha_1-beta_1-gamma_1,1572003313,672,-0.2755,0.4215,0.0,1.0,0.6969,0.5
adult-alpha_1-beta_1-gamma_1,1572003321,673,-0.0039,0.5664,0.0,1.0,0.5703,0.5
adult-alpha_1-beta_1-gamma_1,1572003328,674,-0.1205,0.3489,0.0,1.0,0.4694,0.83
adult-alpha_1-beta_1-gamma_1,1572003335,675,0.0786,0.5824,0.0,1.0,0.5037,0.5
adult-alpha_1-beta_1-gamma_1,1572003343,676,2.4571,3.3161,0.0,1.0,0.859,0.33
adult-alpha_1-beta_1-gamma_1,1572003350,677,-0.0048,0.789,0.0,1.0,0.7938,0.5
adult-alpha_1-beta_1-gamma_1,1572003357,678,0.1031,0.4357,0.0,1.0,0.3326,0.83
adult-alpha_1-beta_1-gamma_1,1572003364,679,0.9084,1.8581,0.0,1.0,0.9497,0.33
adult-alpha_1-beta_1-gamma_1,1572003372,680,0.5838,1.0261,0.0,1.0,0.4423,0.5
adult-alpha_1-beta_1-gamma_1,1572003379,681,0.2844,0.7345,0.0,1.0,0.4501,0.67
adult-alpha_1-beta_1-gamma_1,1572003386,682,0.1375,0.8543,0.0,1.0,0.7168,0.5
adult-alpha_1-beta_1-gamma_1,1572003394,683,1.1489,1.5609,0.0,1.0,0.412,0.83
adult-alpha_1-beta_1-gamma_1,1572003401,684,0.7544,1.2768,0.0,1.0,0.5224,0.5
adult-alpha_1-beta_1-gamma_1,1572003408,685,0.0689,0.4417,0.0,1.0,0.3728,0.83
adult-alpha_1-beta_1-gamma_1,1572003416,686,-0.1829,0.4586,0.0,1.0,0.6415,0.67
adult-alpha_1-beta_1-gamma_1,1572003423,687,0.5962,1.2318,0.0,1.0,0.6356,0.67
adult-alpha_1-beta_1-gamma_1,1572003430,688,0.8441,1.4948,0.0,1.0,0.6507,0.5
adult-alpha_1-beta_1-gamma_1,1572003438,689,-0.0658,0.5696,0.0,1.0,0.6354,0.67
adult-alpha_1-beta_1-gamma_1,1572003445,690,0.7295,1.0984,0.0,1.0,0.3689,0.83
adult-alpha_1-beta_1-gamma_1,1572003452,691,-0.2281,0.6696,0.0,1.0,0.8977,0.67
adult-alpha_1-beta_1-gamma_1,1572003460,692,0.3996,0.8144,0.0,1.0,0.4149,0.83
adult-alpha_1-beta_1-gamma_1,1572003467,693,0.4943,0.8657,0.0,1.0,0.3714,0.83
adult-alpha_1-beta_1-gamma_1,1572003474,694,-0.1923,0.6034,0.0,1.0,0.7957,0.5
adult-alpha_1-beta_1-gamma_1,1572003482,695,0.3099,0.7541,0.0,1.0,0.4442,0.83
adult-alpha_1-beta_1-gamma_1,1572003489,696,0.2243,0.4751,0.0,1.0,0.2508,0.83
adult-alpha_1-beta_1-gamma_1,1572003496,697,-0.0881,0.5315,0.0,1.0,0.6196,0.67
adult-alpha_1-beta_1-gamma_1,1572003503,698,1.0131,1.4262,0.0,1.0,0.4131,0.83
adult-alpha_1-beta_1-gamma_1,1572003511,699,-0.0338,0.4184,0.0,1.0,0.4521,0.67
adult-alpha_1-beta_1-gamma_1,1572003518,700,0.2789,0.6066,0.0,1.0,0.3277,0.83
adult-alpha_1-beta_1-gamma_1,1572003526,701,0.1042,0.4786,0.0,1.0,0.3745,0.67
adult-alpha_1-beta_1-gamma_1,1572003533,702,-0.3196,0.5002,0.0,1.0,0.8199,0.33
adult-alpha_1-beta_1-gamma_1,1572003540,703,0.2499,0.7934,0.0,1.0,0.5435,0.83
adult-alpha_1-beta_1-gamma_1,1572003548,704,0.2001,0.9806,0.0,1.0,0.7806,0.5
adult-alpha_1-beta_1-gamma_1,1572003555,705,0.2917,0.9372,0.0,1.0,0.6455,0.5
adult-alpha_1-beta_1-gamma_1,1572003562,706,0.0586,0.5654,0.0,1.0,0.5068,0.83
adult-alpha_1-beta_1-gamma_1,1572003569,707,0.1487,0.3862,0.0,1.0,0.2375,1.0
adult-alpha_1-beta_1-gamma_1,1572003577,708,0.9969,1.7881,0.0,1.0,0.7912,0.67
adult-alpha_1-beta_1-gamma_1,1572003584,709,0.0479,0.8083,0.0,1.0,0.7604,0.67
adult-alpha_1-beta_1-gamma_1,1572003591,710,-0.1407,0.3909,0.0,1.0,0.5316,0.67
adult-alpha_1-beta_1-gamma_1,1572003599,711,0.5155,1.036,0.0,1.0,0.5205,0.67
adult-alpha_1-beta_1-gamma_1,1572003606,712,-0.3829,0.4254,0.0,1.0,0.8082,0.33
adult-alpha_1-beta_1-gamma_1,1572003613,713,-0.1993,0.3272,0.0,1.0,0.5264,0.5
adult-alpha_1-beta_1-gamma_1,1572003621,714,-0.6124,0.6401,0.0,1.0,1.2524,0.5
adult-alpha_1-beta_1-gamma_1,1572003628,715,1.3208,1.8416,0.0,1.0,0.5208,0.67
adult-alpha_1-beta_1-gamma_1,1572003635,716,0.1593,0.4618,0.0,1.0,0.3025,0.83
adult-alpha_1-beta_1-gamma_1,1572003643,717,-0.0803,0.4031,0.0,1.0,0.4834,0.83
adult-alpha_1-beta_1-gamma_1,1572003650,718,0.7101,1.2557,0.0,1.0,0.5456,0.83
adult-alpha_1-beta_1-gamma_1,1572003657,719,0.3173,0.8462,0.0,1.0,0.5288,0.67
adult-alpha_1-beta_1-gamma_1,1572003665,720,0.3138,0.545,0.0,1.0,0.2311,1.0
adult-alpha_1-beta_1-gamma_1,1572003672,721,-0.1183,0.4225,0.0,1.0,0.5409,0.5
adult-alpha_1-beta_1-gamma_1,1572003679,722,0.9428,1.3817,0.0,1.0,0.4389,1.0
adult-alpha_1-beta_1-gamma_1,1572003687,723,0.1041,0.568,0.0,1.0,0.4639,0.67
adult-alpha_1-beta_1-gamma_1,1572003694,724,1.8079,2.4118,0.0,1.0,0.6039,0.67
adult-alpha_1-beta_1-gamma_1,1572003701,725,-0.0269,0.3705,0.0,1.0,0.3974,0.67
adult-alpha_1-beta_1-gamma_1,1572003709,726,0.742,1.2243,0.0,1.0,0.4824,0.83
adult-alpha_1-beta_1-gamma_1,1572003716,727,0.0842,0.8356,0.0,1.0,0.7514,0.67
adult-alpha_1-beta_1-gamma_1,1572003723,728,0.1274,0.5032,0.0,1.0,0.3759,1.0
adult-alpha_1-beta_1-gamma_1,1572003731,729,-0.0163,0.5103,0.0,1.0,0.5266,0.83
adult-alpha_1-beta_1-gamma_1,1572003738,730,1.7779,2.2574,0.0,1.0,0.4795,0.67
adult-alpha_1-beta_1-gamma_1,1572003745,731,0.3125,0.9227,0.0,1.0,0.6102,0.5
adult-alpha_1-beta_1-gamma_1,1572003752,732,-0.184,0.3739,0.0,1.0,0.5578,0.5
adult-alpha_1-beta_1-gamma_1,1572003760,733,-0.2913,0.5149,0.0,1.0,0.8062,0.33
adult-alpha_1-beta_1-gamma_1,1572003767,734,0.4881,1.0063,0.0,1.0,0.5182,0.83
adult-alpha_1-beta_1-gamma_1,1572003774,735,-0.2727,0.4384,0.0,1.0,0.711,0.83
adult-alpha_1-beta_1-gamma_1,1572003781,736,1.0539,1.5426,0.0,1.0,0.4887,0.67
adult-alpha_1-beta_1-gamma_1,1572003789,737,0.0026,0.7191,0.0,1.0,0.7165,0.67
adult-alpha_1-beta_1-gamma_1,1572003796,738,0.0803,0.4109,0.0,1.0,0.3306,1.0
adult-alpha_1-beta_1-gamma_1,1572003803,739,1.7888,2.5982,0.0,1.0,0.8094,0.33
adult-alpha_1-beta_1-gamma_1,1572003810,740,1.1954,1.4564,0.0,1.0,0.261,1.0
adult-alpha_1-beta_1-gamma_1,1572003818,741,1.1186,1.4485,0.0,1.0,0.3299,1.0
adult-alpha_1-beta_1-gamma_1,1572003825,742,0.4595,0.9523,0.0,1.0,0.4928,0.83
adult-alpha_1-beta_1-gamma_1,1572003832,743,0.1127,0.4126,0.0,1.0,0.3,1.0
adult-alpha_1-beta_1-gamma_1,1572003840,744,0.739,1.1999,0.0,1.0,0.461,0.83
adult-alpha_1-beta_1-gamma_1,1572003847,745,0.5917,1.2889,0.0,1.0,0.6973,0.33
adult-alpha_1-beta_1-gamma_1,1572003854,746,0.0008,0.5084,0.0,1.0,0.5076,0.67
adult-alpha_1-beta_1-gamma_1,1572003862,747,-0.0274,0.5522,0.0,1.0,0.5796,0.67
adult-alpha_1-beta_1-gamma_1,1572003869,748,0.1133,0.671,0.0,1.0,0.5576,0.83
adult-alpha_1-beta_1-gamma_1,1572003876,749,-0.0271,0.3939,0.0,1.0,0.421,0.83
adult-alpha_1-beta_1-gamma_1,1572003883,750,0.194,0.4433,0.0,1.0,0.2493,0.83
adult-alpha_1-beta_1-gamma_1,1572003891,751,1.2689,1.9317,0.0,1.0,0.6628,0.83
adult-alpha_1-beta_1-gamma_1,1572003898,752,2.3451,3.0592,0.0,1.0,0.7141,0.67
adult-alpha_1-beta_1-gamma_1,1572003905,753,-0.279,0.3549,0.0,1.0,0.6338,0.67
adult-alpha_1-beta_1-gamma_1,1572003913,754,-0.0292,0.5768,0.0,1.0,0.606,0.5
adult-alpha_1-beta_1-gamma_1,1572003920,755,0.0918,0.503,0.0,1.0,0.4112,0.83
adult-alpha_1-beta_1-gamma_1,1572003927,756,0.1582,0.5981,0.0,1.0,0.4398,0.83
adult-alpha_1-beta_1-gamma_1,1572003935,757,-0.021,0.4638,0.0,1.0,0.4848,0.83
adult-alpha_1-beta_1-gamma_1,1572003942,758,-0.4273,0.2775,0.0,1.0,0.7048,0.5
adult-alpha_1-beta_1-gamma_1,1572003949,759,0.0166,0.4457,0.0,1.0,0.4291,0.83
adult-alpha_1-beta_1-gamma_1,1572003956,760,0.2796,0.8047,0.0,1.0,0.525,0.83
adult-alpha_1-beta_1-gamma_1,1572003964,761,0.0578,0.3259,0.0,1.0,0.2681,1.0
