adult-alpha_1-beta_1-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
adult-alpha_1-beta_1-gamma_1,1571999037,86,-0.0933,0.4512,0.0,1.0,0.5445,0.83
adult-alpha_1-beta_1-gamma_1,1571999044,87,0.2059,0.6594,0.0,1.0,0.4535,0.83
adult-alpha_1-beta_1-gamma_1,1571999052,88,0.042,0.4153,0.0,1.0,0.3733,0.83
adult-alpha_1-beta_1-gamma_1,1571999059,89,0.4394,0.7653,0.0,1.0,0.3259,1.0
adult-alpha_1-beta_1-gamma_1,1571999066,90,0.0622,0.8611,0.0,1.0,0.7989,0.67
adult-alpha_1-beta_1-gamma_1,1571999074,91,-0.2846,0.7999,0.0,1.0,1.0845,0.5
adult-alpha_1-beta_1-gamma_1,1571999081,92,1.1762,1.5811,0.0,1.0,0.4049,0.83
adult-alpha_1-beta_1-gamma_1,1571999089,93,0.0198,0.3771,0.0,1.0,0.3574,0.83
adult-alpha_1-beta_1-gamma_1,1571999096,94,0.8206,1.4305,0.0,1.0,0.6099,0.67
adult-alpha_1-beta_1-gamma_1,1571999103,95,0.2016,0.4582,0.0,1.0,0.2566,1.0
adult-alpha_1-beta_1-gamma_1,1571999110,96,1.4993,1.8254,0.0,1.0,0.326,0.67
adult-alpha_1-beta_1-gamma_1,1571999118,97,0.1298,0.5326,0.0,1.0,0.4028,0.67
adult-alpha_1-beta_1-gamma_1,1571999125,98,0.0416,0.6422,0.0,1.0,0.6005,0.5
adult-alpha_1-beta_1-gamma_1,1571999132,99,0.1578,0.5726,0.0,1.0,0.4148,0.83
adult-alpha_1-beta_1-gamma_1,1571999140,100,0.4506,1.0202,0.0,1.0,0.5696,0.5
adult-alpha_1-beta_1-gamma_1,1571999147,101,2.0207,2.5487,0.0,1.0,0.528,0.67
adult-alpha_1-beta_1-gamma_1,1571999154,102,-0.0551,0.2917,0.0,1.0,0.3467,1.0
adult-alpha_1-beta_1-gamma_1,1571999162,103,-0.0872,0.4614,0.0,1.0,0.5486,0.83
adult-alpha_1-beta_1-gamma_1,1571999169,104,0.4906,1.0013,0.0,1.0,0.5107,0.83
adult-alpha_1-beta_1-gamma_1,1571999176,105,0.7125,1.0723,0.0,1.0,0.3598,0.83
adult-alpha_1-beta_1-gamma_1,1571999183,106,1.3426,1.6893,0.0,1.0,0.3467,0.83
adult-alpha_1-beta_1-gamma_1,1571999191,107,0.1538,0.5473,0.0,1.0,0.3935,1.0
adult-alpha_1-beta_1-gamma_1,1571999198,108,0.0974,0.4849,0.0,1.0,0.3875,0.67
adult-alpha_1-beta_1-gamma_1,1571999205,109,0.2633,0.587,0.0,1.0,0.3237,1.0
adult-alpha_1-beta_1-gamma_1,1571999213,110,2.1687,2.6892,0.0,1.0,0.5205,0.67
adult-alpha_1-beta_1-gamma_1,1571999220,111,-0.2715,0.3129,0.0,1.0,0.5845,0.67
adult-alpha_1-beta_1-gamma_1,1571999227,112,-0.1834,0.4509,0.0,1.0,0.6343,0.5
