compas-alpha_1-beta_0.0-gamma_0.5,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_0.0-gamma_0.5,1571659958,82,0.6257,0.0,0.632,0.67,0.0063,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659959,83,0.6114,0.0,0.632,0.57,0.0206,0.97
compas-alpha_1-beta_0.0-gamma_0.5,1571659959,84,0.6726,0.0,0.6767,0.7,0.0041,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659960,85,0.5629,0.0,0.5659,0.83,0.0029,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659960,86,0.708,0.0,0.7095,0.57,0.0015,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659961,87,0.5599,0.0,0.569,0.73,0.0091,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659961,88,0.6532,0.0,0.6552,0.63,0.002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659962,89,0.6023,0.0,0.6052,0.63,0.0029,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659963,90,0.6342,0.0,0.6385,0.7,0.0044,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659963,91,0.548,0.0,0.5531,0.77,0.0051,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659964,92,0.634,0.0,0.6373,0.6,0.0033,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659964,93,0.5943,0.0,0.6112,0.7,0.0169,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659965,94,0.677,0.0,0.6807,0.53,0.0037,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659966,95,0.5384,0.0,0.5457,0.8,0.0073,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659966,96,0.6303,0.0,0.6311,0.7,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659967,97,0.5786,0.0,0.5797,0.67,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659967,98,0.6636,0.0,0.6755,0.57,0.0118,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659968,99,0.6706,0.0,0.6748,0.63,0.0042,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659968,100,0.7085,0.0,0.7158,0.7,0.0073,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659969,101,0.7027,0.0,0.7058,0.53,0.0031,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659969,102,0.6001,0.0,0.6079,0.7,0.0078,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659970,103,0.6132,0.0,0.6149,0.7,0.0016,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659970,104,0.6048,0.0,0.6088,0.7,0.004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659971,105,0.6676,0.0,0.6704,0.63,0.0028,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659971,106,0.6601,0.0,0.671,0.57,0.0109,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659972,107,0.5365,0.0,0.5546,0.77,0.018,0.97
compas-alpha_1-beta_0.0-gamma_0.5,1571659972,108,0.6152,0.0,0.6202,0.67,0.005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659973,109,0.5845,0.0,0.5853,0.77,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659974,110,0.5875,0.0,0.5891,0.73,0.0017,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659974,111,0.7358,0.0,0.7422,0.57,0.0064,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659975,112,0.6756,0.0,0.6835,0.63,0.008,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659975,113,0.6632,0.0,0.6639,0.63,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659976,114,0.6649,0.0,0.6658,0.57,0.0009,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659976,115,0.5901,0.0,0.5912,0.77,0.0011,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659977,116,0.5893,0.0,0.5906,0.7,0.0013,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659977,117,0.6057,0.0,0.6117,0.63,0.006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659978,118,0.5253,0.0,0.5284,0.8,0.0031,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659978,119,0.5785,0.0,0.58,0.87,0.0016,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659979,120,0.578,0.0,0.5792,0.67,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659979,121,0.6676,0.0,0.6686,0.6,0.001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659980,122,0.6436,0.0,0.6479,0.63,0.0043,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659980,123,0.5673,0.0,0.5701,0.63,0.0028,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659981,124,0.614,0.0,0.6155,0.7,0.0015,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659982,125,0.5536,0.0,0.5591,0.77,0.0055,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659982,126,0.7164,0.0,0.72,0.57,0.0036,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659983,127,0.6042,0.0,0.6065,0.77,0.0024,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659983,128,0.6403,0.0,0.6407,0.63,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659984,129,0.6124,0.0,0.6149,0.7,0.0025,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659985,130,0.572,0.0,0.5733,0.73,0.0013,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659985,131,0.5756,0.0,0.5776,0.73,0.002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659986,132,0.6285,0.0,0.6298,0.67,0.0013,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659986,133,0.6884,0.0,0.6908,0.67,0.0023,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659987,134,0.6387,0.0,0.6411,0.83,0.0024,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659988,135,0.6512,0.0,0.6587,0.7,0.0075,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659988,136,0.6352,0.0,0.6361,0.63,0.0009,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659989,137,0.651,0.0,0.6516,0.63,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659989,138,0.6635,0.0,0.6662,0.57,0.0028,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659990,139,0.5404,0.0,0.5415,0.8,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659990,140,0.6543,0.0,0.6552,0.6,0.0009,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659991,141,0.6856,0.0,0.6861,0.53,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659992,142,0.6677,0.0,0.6681,0.63,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659992,143,0.6217,0.0,0.6233,0.63,0.0016,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659993,144,0.5887,0.0,0.5952,0.7,0.0065,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659993,145,0.7331,0.0,0.7389,0.57,0.0058,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659994,146,0.6341,0.0,0.6348,0.77,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659994,147,0.5753,0.0,0.5777,0.73,0.0024,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659995,148,0.6192,0.0,0.6219,0.77,0.0027,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659995,149,0.627,0.0,0.6276,0.63,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659996,150,0.6721,0.0,0.6729,0.47,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659996,151,0.6336,0.0,0.636,0.57,0.0023,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659997,152,0.64,0.0,0.6417,0.6,0.0016,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659998,153,0.5381,0.0,0.5387,0.83,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659998,154,0.6624,0.0,0.6631,0.63,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659999,155,0.78,0.0,0.7814,0.47,0.0014,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571659999,156,0.6398,0.0,0.6414,0.67,0.0016,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660000,157,0.5454,0.0,0.5479,0.83,0.0025,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660000,158,0.6293,0.0,0.6298,0.7,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660001,159,0.7123,0.0,0.7137,0.53,0.0014,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660001,160,0.6407,0.0,0.6411,0.67,0.0003,1.0
