compas-alpha_1-beta_0.0-gamma_0.5,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_0.0-gamma_0.5,1571660191,479,0.6087,0.0,0.6087,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660191,480,0.681,0.0,0.681,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660192,481,0.5105,0.0,0.5106,0.83,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660193,482,0.5677,0.0,0.5677,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660193,483,0.5475,0.0,0.5476,0.8,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660194,484,0.6166,0.0,0.6167,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660195,485,0.6294,0.0,0.6294,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660195,486,0.6185,0.0,0.6185,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660196,487,0.6502,0.0,0.6503,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660197,488,0.6492,0.0,0.6492,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660198,489,0.7683,0.0,0.7684,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660198,490,0.7355,0.0,0.7355,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660199,491,0.676,0.0,0.676,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660199,492,0.6662,0.0,0.6662,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660200,493,0.5499,0.0,0.5499,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660201,494,0.6196,0.0,0.6196,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660201,495,0.6621,0.0,0.6621,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660202,496,0.6773,0.0,0.6774,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660203,497,0.615,0.0,0.6152,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660203,498,0.5484,0.0,0.5484,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660204,499,0.5903,0.0,0.5904,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660205,500,0.6608,0.0,0.6608,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660206,501,0.5666,0.0,0.5666,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660206,502,0.6741,0.0,0.6742,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660207,503,0.5849,0.0,0.5849,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660208,504,0.6275,0.0,0.6275,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660209,505,0.7158,0.0,0.7159,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660209,506,0.6167,0.0,0.6168,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660210,507,0.6051,0.0,0.6053,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660211,508,0.5818,0.0,0.5819,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660211,509,0.6611,0.0,0.6613,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660212,510,0.6658,0.0,0.6659,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660213,511,0.6443,0.0,0.6443,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660213,512,0.5806,0.0,0.5806,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660214,513,0.6366,0.0,0.6367,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660214,514,0.726,0.0,0.726,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660215,515,0.7147,0.0,0.7147,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660216,516,0.6176,0.0,0.6176,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660216,517,0.7284,0.0,0.7284,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660217,518,0.5588,0.0,0.5588,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660218,519,0.579,0.0,0.5791,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660218,520,0.5946,0.0,0.5948,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660219,521,0.6854,0.0,0.6854,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660220,522,0.5665,0.0,0.5666,0.77,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660220,523,0.6264,0.0,0.6264,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660221,524,0.4672,0.0,0.4672,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660222,525,0.6126,0.0,0.6126,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660222,526,0.6496,0.0,0.6496,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660223,527,0.6065,0.0,0.6065,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660223,528,0.5409,0.0,0.541,0.77,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660224,529,0.5828,0.0,0.5828,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660225,530,0.5826,0.0,0.5827,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660225,531,0.6693,0.0,0.6693,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660226,532,0.5858,0.0,0.5858,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660227,533,0.6801,0.0,0.6801,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660227,534,0.7386,0.0,0.7387,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660228,535,0.6644,0.0,0.6644,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660229,536,0.6394,0.0,0.6396,0.6,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660229,537,0.6757,0.0,0.6757,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660230,538,0.6365,0.0,0.6366,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660231,539,0.6533,0.0,0.6534,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660231,540,0.6004,0.0,0.6008,0.63,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660232,541,0.6508,0.0,0.6508,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660233,542,0.6269,0.0,0.627,0.77,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660233,543,0.6209,0.0,0.6209,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660234,544,0.6304,0.0,0.6305,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660234,545,0.7469,0.0,0.7469,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660235,546,0.5672,0.0,0.5672,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660236,547,0.6576,0.0,0.6576,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660236,548,0.7347,0.0,0.7347,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660237,549,0.7152,0.0,0.7152,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660238,550,0.7072,0.0,0.7072,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660238,551,0.6105,0.0,0.6105,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660239,552,0.5757,0.0,0.5757,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660240,553,0.6404,0.0,0.6404,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660240,554,0.6972,0.0,0.6972,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660241,555,0.5838,0.0,0.5838,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660242,556,0.644,0.0,0.6441,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660242,557,0.4994,0.0,0.4994,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660243,558,0.5035,0.0,0.5035,0.87,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660244,559,0.6271,0.0,0.6271,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660244,560,0.5317,0.0,0.5317,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660245,561,0.6601,0.0,0.6601,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660245,562,0.6172,0.0,0.6172,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660246,563,0.587,0.0,0.5871,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660247,564,0.663,0.0,0.663,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660247,565,0.5566,0.0,0.5566,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660248,566,0.6068,0.0,0.6069,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660249,567,0.6807,0.0,0.6807,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660249,568,0.5936,0.0,0.5937,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660250,569,0.6702,0.0,0.6702,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660251,570,0.5588,0.0,0.5588,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660251,571,0.5346,0.0,0.5346,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660252,572,0.6219,0.0,0.6219,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660253,573,0.6429,0.0,0.6431,0.63,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660253,574,0.5975,0.0,0.5975,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660254,575,0.5647,0.0,0.5647,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660255,576,0.5894,0.0,0.5894,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660255,577,0.6007,0.0,0.6007,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660256,578,0.6448,0.0,0.6448,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660257,579,0.7398,0.0,0.7398,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660257,580,0.5533,0.0,0.5533,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660258,581,0.6366,0.0,0.6366,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660259,582,0.6009,0.0,0.6009,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660259,583,0.6294,0.0,0.6294,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660260,584,0.7002,0.0,0.7002,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660261,585,0.627,0.0,0.627,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660261,586,0.5858,0.0,0.5858,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660262,587,0.6686,0.0,0.6686,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660263,588,0.6444,0.0,0.6444,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660263,589,0.6761,0.0,0.6761,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660264,590,0.6345,0.0,0.6345,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660264,591,0.7462,0.0,0.7462,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660265,592,0.6235,0.0,0.6235,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660266,593,0.5911,0.0,0.5911,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660266,594,0.7281,0.0,0.7281,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660267,595,0.5467,0.0,0.5467,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660268,596,0.6229,0.0,0.6229,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660268,597,0.6976,0.0,0.6976,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660269,598,0.6011,0.0,0.6011,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660270,599,0.5534,0.0,0.5534,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660270,600,0.6566,0.0,0.6566,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660271,601,0.5396,0.0,0.5396,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660272,602,0.5624,0.0,0.5624,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660273,603,0.5648,0.0,0.5648,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660273,604,0.6257,0.0,0.6258,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660274,605,0.5801,0.0,0.5801,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660274,606,0.5766,0.0,0.5766,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660275,607,0.5431,0.0,0.5432,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660276,608,0.5627,0.0,0.5627,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660276,609,0.5291,0.0,0.5291,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660277,610,0.5095,0.0,0.5096,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660278,611,0.7036,0.0,0.7036,0.47,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660278,612,0.687,0.0,0.6871,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660279,613,0.5908,0.0,0.5908,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660280,614,0.6065,0.0,0.6065,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660280,615,0.6553,0.0,0.6553,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660281,616,0.6454,0.0,0.6454,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660282,617,0.6027,0.0,0.6027,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660282,618,0.599,0.0,0.599,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660283,619,0.673,0.0,0.673,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660284,620,0.7289,0.0,0.7289,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660284,621,0.5771,0.0,0.5771,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660285,622,0.6136,0.0,0.6136,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660286,623,0.5944,0.0,0.5944,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660286,624,0.6513,0.0,0.6513,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660287,625,0.6736,0.0,0.6736,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660288,626,0.6147,0.0,0.6147,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660288,627,0.6239,0.0,0.6239,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660289,628,0.666,0.0,0.666,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660290,629,0.5768,0.0,0.5768,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660290,630,0.5835,0.0,0.5835,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660291,631,0.6668,0.0,0.6668,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660292,632,0.6208,0.0,0.6208,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660292,633,0.671,0.0,0.671,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660293,634,0.6937,0.0,0.6937,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660294,635,0.6109,0.0,0.6109,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660294,636,0.6386,0.0,0.6386,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660295,637,0.6609,0.0,0.6609,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660296,638,0.7416,0.0,0.7417,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660296,639,0.6701,0.0,0.6701,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660297,640,0.663,0.0,0.6631,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660298,641,0.6584,0.0,0.6584,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660298,642,0.535,0.0,0.535,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660299,643,0.6707,0.0,0.6707,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660300,644,0.6108,0.0,0.6108,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660300,645,0.6365,0.0,0.6365,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660301,646,0.6064,0.0,0.6064,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660302,647,0.5236,0.0,0.5236,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660302,648,0.6324,0.0,0.6324,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660303,649,0.6016,0.0,0.6016,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660303,650,0.5979,0.0,0.5979,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660304,651,0.6461,0.0,0.6461,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660305,652,0.5724,0.0,0.5724,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660305,653,0.5385,0.0,0.5385,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660306,654,0.7036,0.0,0.7036,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660307,655,0.6132,0.0,0.6132,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660307,656,0.632,0.0,0.632,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660308,657,0.5944,0.0,0.5944,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660308,658,0.7812,0.0,0.7812,0.47,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660309,659,0.5088,0.0,0.5088,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660310,660,0.5622,0.0,0.5623,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660310,661,0.634,0.0,0.634,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660311,662,0.5321,0.0,0.5321,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660312,663,0.627,0.0,0.627,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660312,664,0.5717,0.0,0.5717,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660313,665,0.6141,0.0,0.6141,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660314,666,0.6298,0.0,0.6298,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660314,667,0.6475,0.0,0.6476,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660315,668,0.6192,0.0,0.6192,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660316,669,0.5539,0.0,0.5539,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660317,670,0.6663,0.0,0.6664,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660317,671,0.6411,0.0,0.6411,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660318,672,0.5809,0.0,0.5809,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660319,673,0.5538,0.0,0.5538,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660319,674,0.6056,0.0,0.6056,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660320,675,0.5663,0.0,0.5663,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660321,676,0.6637,0.0,0.6637,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660322,677,0.658,0.0,0.658,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660322,678,0.7299,0.0,0.7299,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660323,679,0.6436,0.0,0.6436,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660324,680,0.6191,0.0,0.6191,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660325,681,0.5899,0.0,0.5899,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660325,682,0.5788,0.0,0.5788,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660326,683,0.5608,0.0,0.5608,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660327,684,0.6906,0.0,0.6906,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660327,685,0.5834,0.0,0.5835,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660328,686,0.6263,0.0,0.6263,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660329,687,0.5884,0.0,0.5884,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660329,688,0.596,0.0,0.596,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660330,689,0.5551,0.0,0.5551,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660331,690,0.7046,0.0,0.7046,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660331,691,0.6912,0.0,0.6912,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660332,692,0.7229,0.0,0.723,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660332,693,0.6858,0.0,0.6858,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660333,694,0.5493,0.0,0.5494,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660334,695,0.6048,0.0,0.6048,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660334,696,0.6429,0.0,0.6429,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660335,697,0.6453,0.0,0.6453,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660336,698,0.621,0.0,0.621,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660336,699,0.534,0.0,0.534,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660337,700,0.5945,0.0,0.5945,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660338,701,0.5214,0.0,0.5214,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660339,702,0.7589,0.0,0.7589,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660339,703,0.5996,0.0,0.5996,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660340,704,0.6694,0.0,0.6695,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660341,705,0.6035,0.0,0.6035,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660341,706,0.6639,0.0,0.6639,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660342,707,0.6221,0.0,0.6221,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660343,708,0.6636,0.0,0.6636,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660343,709,0.6097,0.0,0.6097,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660344,710,0.6649,0.0,0.6649,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660344,711,0.6996,0.0,0.6996,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660345,712,0.6737,0.0,0.6737,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660346,713,0.5408,0.0,0.5409,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660346,714,0.7082,0.0,0.7082,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660347,715,0.546,0.0,0.546,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660348,716,0.7315,0.0,0.7315,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660348,717,0.6223,0.0,0.6223,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660349,718,0.5326,0.0,0.5326,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660350,719,0.5878,0.0,0.5878,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660350,720,0.6188,0.0,0.6188,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660351,721,0.579,0.0,0.579,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660352,722,0.6844,0.0,0.6844,0.53,0.0,1.0
