compas-alpha_1-beta_1-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_1-gamma_1,1571651184,507,0.6224,0.0174,0.6053,0.7,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651184,508,0.5941,0.0123,0.5819,0.63,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651185,509,0.6776,0.0166,0.6613,0.57,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651185,510,0.6824,0.0166,0.6659,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651186,511,0.6619,0.0176,0.6443,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651186,512,0.5983,0.0177,0.5806,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651186,513,0.6467,0.0102,0.6367,0.63,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651187,514,0.7443,0.0183,0.726,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651187,515,0.7298,0.0151,0.7147,0.5,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651188,516,0.6285,0.0109,0.6176,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651188,517,0.7424,0.014,0.7284,0.53,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651188,518,0.5744,0.0157,0.5588,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651189,519,0.5865,0.0076,0.5791,0.73,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651189,520,0.612,0.0175,0.5948,0.67,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651190,521,0.6959,0.0106,0.6854,0.63,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651190,522,0.5853,0.0188,0.5666,0.77,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651190,523,0.642,0.0157,0.6264,0.57,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651191,524,0.4856,0.0185,0.4672,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651191,525,0.6242,0.0117,0.6126,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651192,526,0.6608,0.0112,0.6496,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651192,527,0.6242,0.0177,0.6065,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651192,528,0.5535,0.0126,0.541,0.77,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651193,529,0.6016,0.0188,0.5828,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651193,530,0.6008,0.0183,0.5827,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651194,531,0.6763,0.0072,0.6693,0.67,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651194,532,0.6017,0.0159,0.5858,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651194,533,0.6965,0.0165,0.6801,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651195,534,0.7544,0.0159,0.7387,0.57,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651195,535,0.6893,0.0249,0.6644,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651196,536,0.651,0.0119,0.6396,0.6,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651196,537,0.6919,0.0162,0.6757,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651196,538,0.6537,0.0172,0.6366,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651197,539,0.6672,0.0139,0.6534,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651197,540,0.6169,0.0168,0.6008,0.63,0.0007,1.0
compas-alpha_1-beta_1-gamma_1,1571651198,541,0.6648,0.0141,0.6508,0.63,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651198,542,0.6398,0.013,0.627,0.77,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651198,543,0.6304,0.0094,0.6209,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651199,544,0.643,0.0125,0.6305,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651199,545,0.7632,0.0164,0.7469,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651200,546,0.5813,0.0141,0.5672,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651200,547,0.6712,0.0135,0.6576,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651200,548,0.7529,0.0183,0.7347,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651201,549,0.7336,0.0184,0.7152,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651201,550,0.7246,0.0174,0.7072,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651202,551,0.6294,0.0189,0.6105,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651202,552,0.5868,0.0112,0.5757,0.67,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651202,553,0.6529,0.0125,0.6404,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651203,554,0.7161,0.0189,0.6972,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651203,555,0.5986,0.0148,0.5838,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651204,556,0.6634,0.0194,0.6441,0.57,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651204,557,0.5195,0.0202,0.4994,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651204,558,0.5171,0.0135,0.5035,0.87,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651205,559,0.642,0.0149,0.6271,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651205,560,0.5478,0.0161,0.5317,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651206,561,0.6755,0.0154,0.6601,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651206,562,0.633,0.0157,0.6172,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651206,563,0.6122,0.0252,0.5871,0.73,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651207,564,0.6783,0.0153,0.663,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651207,565,0.572,0.0154,0.5566,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651208,566,0.619,0.0122,0.6069,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651208,567,0.6994,0.0187,0.6807,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651208,568,0.6078,0.0142,0.5937,0.63,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651209,569,0.6852,0.015,0.6702,0.5,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651209,570,0.5726,0.0138,0.5588,0.77,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651210,571,0.5503,0.0157,0.5346,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651210,572,0.6376,0.0158,0.6219,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651210,573,0.657,0.0143,0.6431,0.63,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651211,574,0.6126,0.0151,0.5975,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651211,575,0.5836,0.0189,0.5647,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651212,576,0.6056,0.0161,0.5894,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651212,577,0.6179,0.0171,0.6007,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651212,578,0.659,0.0142,0.6448,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651213,579,0.7549,0.0151,0.7398,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651213,580,0.5716,0.0183,0.5533,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651213,581,0.6556,0.019,0.6366,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651214,582,0.6113,0.0104,0.6009,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651214,583,0.6436,0.0143,0.6294,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651215,584,0.7145,0.0143,0.7002,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651215,585,0.6396,0.0126,0.627,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651215,586,0.6027,0.0169,0.5858,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651216,587,0.6848,0.0162,0.6686,0.63,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651216,588,0.6675,0.0231,0.6444,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651217,589,0.689,0.0129,0.6761,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651217,590,0.647,0.0125,0.6345,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651217,591,0.7638,0.0176,0.7462,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651218,592,0.6382,0.0147,0.6235,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651218,593,0.6055,0.0144,0.5911,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651219,594,0.7421,0.014,0.7281,0.57,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651219,595,0.5607,0.014,0.5467,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651219,596,0.6421,0.0192,0.6229,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651220,597,0.7122,0.0146,0.6976,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651220,598,0.6184,0.0174,0.6011,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651221,599,0.5685,0.0151,0.5534,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651221,600,0.6678,0.0112,0.6566,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651221,601,0.5604,0.0208,0.5396,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651222,602,0.5715,0.0092,0.5624,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651222,603,0.5786,0.0138,0.5648,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651223,604,0.6382,0.0125,0.6258,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651223,605,0.5946,0.0144,0.5801,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651223,606,0.5934,0.0168,0.5766,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651224,607,0.5571,0.014,0.5432,0.83,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651224,608,0.5832,0.0205,0.5627,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651225,609,0.549,0.0199,0.5291,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651225,610,0.5369,0.0274,0.5096,0.77,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651225,611,0.7175,0.014,0.7036,0.47,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651226,612,0.7017,0.0147,0.6871,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651226,613,0.6027,0.0119,0.5908,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651227,614,0.6233,0.0168,0.6065,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651227,615,0.6705,0.0152,0.6553,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651227,616,0.6599,0.0146,0.6454,0.6,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651228,617,0.6201,0.0174,0.6027,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651228,618,0.613,0.014,0.599,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651228,619,0.6878,0.0149,0.673,0.67,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651229,620,0.7468,0.0179,0.7289,0.5,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651229,621,0.5986,0.0215,0.5771,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651230,622,0.6307,0.0171,0.6136,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651230,623,0.6083,0.0139,0.5944,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651230,624,0.6677,0.0164,0.6513,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651231,625,0.6843,0.0107,0.6736,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651231,626,0.6277,0.013,0.6147,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651232,627,0.6346,0.0107,0.6239,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651232,628,0.6841,0.0182,0.666,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651232,629,0.5881,0.0114,0.5768,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651233,630,0.5994,0.0159,0.5835,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651233,631,0.6841,0.0173,0.6668,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651234,632,0.6332,0.0123,0.6208,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651234,633,0.688,0.017,0.671,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651235,634,0.7068,0.0131,0.6937,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651235,635,0.6298,0.0189,0.6109,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651235,636,0.6548,0.0162,0.6386,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651236,637,0.6785,0.0176,0.6609,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651236,638,0.7639,0.0222,0.7417,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651237,639,0.6889,0.0188,0.6701,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651237,640,0.6832,0.0202,0.6631,0.67,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651237,641,0.6787,0.0203,0.6584,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651238,642,0.5536,0.0186,0.535,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651238,643,0.6872,0.0164,0.6707,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651239,644,0.6245,0.0137,0.6108,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651239,645,0.6473,0.0108,0.6365,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651240,646,0.6235,0.017,0.6064,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651240,647,0.543,0.0194,0.5236,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651240,648,0.6463,0.0139,0.6324,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651241,649,0.622,0.0205,0.6016,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651241,650,0.6187,0.0208,0.5979,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651242,651,0.6665,0.0205,0.6461,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651242,652,0.5841,0.0117,0.5724,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651243,653,0.5453,0.0068,0.5385,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651243,654,0.7182,0.0146,0.7036,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651243,655,0.626,0.0129,0.6132,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651244,656,0.647,0.015,0.632,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651244,657,0.6049,0.0105,0.5944,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651245,658,0.8,0.0188,0.7812,0.47,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651245,659,0.5321,0.0233,0.5088,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651246,660,0.5818,0.0197,0.5623,0.7,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651246,661,0.6493,0.0153,0.634,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651246,662,0.5458,0.0137,0.5321,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651247,663,0.6447,0.0177,0.627,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651247,664,0.5866,0.0149,0.5717,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651248,665,0.6273,0.0132,0.6141,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651248,666,0.6393,0.0096,0.6298,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651249,667,0.66,0.0125,0.6476,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651250,668,0.6372,0.018,0.6192,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651250,669,0.5661,0.0122,0.5539,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651251,670,0.6757,0.0093,0.6664,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651251,671,0.6595,0.0184,0.6411,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651252,672,0.6015,0.0206,0.5809,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651252,673,0.5698,0.016,0.5538,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651252,674,0.6202,0.0145,0.6056,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651253,675,0.5812,0.0149,0.5663,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651253,676,0.6843,0.0206,0.6637,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651254,677,0.6741,0.016,0.658,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651254,678,0.7479,0.018,0.7299,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651255,679,0.6575,0.014,0.6436,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651255,680,0.638,0.0188,0.6191,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651255,681,0.6061,0.0162,0.5899,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651256,682,0.591,0.0122,0.5788,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651256,683,0.5757,0.0149,0.5608,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651256,684,0.7024,0.0118,0.6906,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651257,685,0.5964,0.013,0.5835,0.73,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651257,686,0.6386,0.0122,0.6263,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651258,687,0.6051,0.0167,0.5884,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651258,688,0.61,0.014,0.596,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651259,689,0.5682,0.0131,0.5551,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651259,690,0.7198,0.0152,0.7046,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651260,691,0.7063,0.0151,0.6912,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651260,692,0.7378,0.0149,0.723,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651260,693,0.7023,0.0165,0.6858,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651261,694,0.5658,0.0165,0.5494,0.8,0.0001,1.0
compas-alpha_1-beta_1-gamma_1,1571651261,695,0.6205,0.0157,0.6048,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651262,696,0.6558,0.013,0.6429,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651262,697,0.6625,0.0172,0.6453,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651262,698,0.6419,0.0209,0.621,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651263,699,0.5492,0.0153,0.534,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651263,700,0.6035,0.009,0.5945,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651264,701,0.5354,0.014,0.5214,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651264,702,0.7697,0.0109,0.7589,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651264,703,0.6179,0.0183,0.5996,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651265,704,0.6847,0.0152,0.6695,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651265,705,0.6233,0.0198,0.6035,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651265,706,0.6815,0.0176,0.6639,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651266,707,0.6355,0.0134,0.6221,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651266,708,0.6784,0.0148,0.6636,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651267,709,0.6184,0.0087,0.6097,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651267,710,0.6821,0.0172,0.6649,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651267,711,0.7144,0.0148,0.6996,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651268,712,0.6847,0.011,0.6737,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651268,713,0.5571,0.0163,0.5409,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651269,714,0.72,0.0118,0.7082,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651269,715,0.563,0.017,0.546,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651270,716,0.7551,0.0236,0.7315,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651270,717,0.6398,0.0175,0.6223,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651271,718,0.5493,0.0167,0.5326,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651271,719,0.6021,0.0143,0.5878,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651271,720,0.628,0.0091,0.6188,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651272,721,0.5938,0.0148,0.579,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651272,722,0.7049,0.0205,0.6844,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651273,723,0.6226,0.0181,0.6045,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651273,724,0.5683,0.0148,0.5535,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651273,725,0.6331,0.0138,0.6193,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651274,726,0.7077,0.0148,0.6929,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651274,727,0.5486,0.0183,0.5303,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651275,728,0.6975,0.0161,0.6814,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651275,729,0.5389,0.0142,0.5247,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651275,730,0.4993,0.0203,0.479,0.9,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651276,731,0.5726,0.0146,0.5581,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651276,732,0.6424,0.0179,0.6245,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651277,733,0.6669,0.0137,0.6532,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651277,734,0.6296,0.0194,0.6102,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651277,735,0.6341,0.0147,0.6194,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651278,736,0.6377,0.0156,0.6221,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651278,737,0.684,0.0132,0.6708,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651279,738,0.657,0.0201,0.6368,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651279,739,0.6179,0.013,0.6049,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651280,740,0.5356,0.015,0.5206,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651280,741,0.6008,0.0152,0.5856,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651280,742,0.6006,0.012,0.5885,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651281,743,0.5587,0.0179,0.5408,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651281,744,0.6562,0.0179,0.6383,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651282,745,0.6211,0.0157,0.6054,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651282,746,0.6674,0.0145,0.6529,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651282,747,0.5905,0.015,0.5755,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651283,748,0.5961,0.0144,0.5818,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651283,749,0.6934,0.0182,0.6753,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651284,750,0.6281,0.0153,0.6128,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651284,751,0.5337,0.015,0.5187,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651285,752,0.5733,0.0165,0.5567,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651285,753,0.6028,0.0233,0.5795,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651285,754,0.5893,0.0205,0.5688,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651286,755,0.6304,0.0171,0.6133,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651286,756,0.6283,0.0132,0.6151,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651287,757,0.5837,0.0081,0.5756,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651287,758,0.6381,0.0171,0.621,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651287,759,0.5395,0.0131,0.5264,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651288,760,0.5939,0.0098,0.5842,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651288,761,0.7345,0.0191,0.7155,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651289,762,0.7087,0.014,0.6947,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651289,763,0.6244,0.0107,0.6137,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651289,764,0.5496,0.016,0.5336,0.8,0.0,1.0
