compas-alpha_1-beta_0.0-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_0.0-gamma_1,1571659170,492,0.6661,0.0,0.6662,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659170,493,0.5499,0.0,0.5499,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659171,494,0.6195,0.0,0.6196,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659171,495,0.6621,0.0,0.6621,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659171,496,0.6773,0.0,0.6774,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659172,497,0.6149,0.0,0.6152,0.7,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659172,498,0.5484,0.0,0.5484,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659173,499,0.5902,0.0,0.5904,0.7,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659173,500,0.6607,0.0,0.6608,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659173,501,0.5666,0.0,0.5666,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659174,502,0.6741,0.0,0.6742,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659174,503,0.5849,0.0,0.5849,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659174,504,0.6275,0.0,0.6275,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659175,505,0.7157,0.0,0.7159,0.57,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659175,506,0.6167,0.0,0.6168,0.73,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659175,507,0.605,0.0,0.6053,0.7,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659176,508,0.5818,0.0,0.5819,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659176,509,0.661,0.0,0.6613,0.57,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659177,510,0.6658,0.0,0.6659,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659177,511,0.6443,0.0,0.6443,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659177,512,0.5806,0.0,0.5806,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659178,513,0.6365,0.0,0.6367,0.63,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659178,514,0.726,0.0,0.726,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659178,515,0.7147,0.0,0.7147,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659179,516,0.6176,0.0,0.6176,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659179,517,0.7283,0.0,0.7284,0.53,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659179,518,0.5588,0.0,0.5588,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659180,519,0.5789,0.0,0.5791,0.73,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659180,520,0.5945,0.0,0.5948,0.67,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659180,521,0.6853,0.0,0.6854,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659181,522,0.5665,0.0,0.5666,0.77,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659181,523,0.6264,0.0,0.6264,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659181,524,0.4672,0.0,0.4672,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659182,525,0.6126,0.0,0.6126,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659182,526,0.6496,0.0,0.6496,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659183,527,0.6065,0.0,0.6065,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659183,528,0.5409,0.0,0.541,0.77,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659183,529,0.5828,0.0,0.5828,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659184,530,0.5826,0.0,0.5827,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659184,531,0.6692,0.0,0.6693,0.67,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659184,532,0.5858,0.0,0.5858,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659185,533,0.68,0.0,0.6801,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659185,534,0.7386,0.0,0.7387,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659185,535,0.6644,0.0,0.6644,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659186,536,0.6392,0.0,0.6396,0.6,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659186,537,0.6757,0.0,0.6757,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659187,538,0.6365,0.0,0.6366,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659187,539,0.6533,0.0,0.6534,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659187,540,0.6001,0.0,0.6008,0.63,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659188,541,0.6507,0.0,0.6508,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659188,542,0.6269,0.0,0.627,0.77,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659188,543,0.6209,0.0,0.6209,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659189,544,0.6304,0.0,0.6305,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659189,545,0.7469,0.0,0.7469,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659189,546,0.5672,0.0,0.5672,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659190,547,0.6576,0.0,0.6576,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659190,548,0.7347,0.0,0.7347,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659191,549,0.7152,0.0,0.7152,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659191,550,0.7072,0.0,0.7072,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659191,551,0.6105,0.0,0.6105,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659192,552,0.5756,0.0,0.5757,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659192,553,0.6404,0.0,0.6404,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659192,554,0.6972,0.0,0.6972,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659193,555,0.5838,0.0,0.5838,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659193,556,0.644,0.0,0.6441,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659193,557,0.4994,0.0,0.4994,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659194,558,0.5035,0.0,0.5035,0.87,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659194,559,0.6271,0.0,0.6271,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659195,560,0.5317,0.0,0.5317,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659195,561,0.6601,0.0,0.6601,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659195,562,0.6172,0.0,0.6172,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659196,563,0.5869,0.0,0.5871,0.73,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659196,564,0.663,0.0,0.663,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659196,565,0.5565,0.0,0.5566,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659197,566,0.6068,0.0,0.6069,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659197,567,0.6807,0.0,0.6807,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659197,568,0.5936,0.0,0.5937,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659198,569,0.6702,0.0,0.6702,0.5,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659198,570,0.5588,0.0,0.5588,0.77,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659199,571,0.5346,0.0,0.5346,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659199,572,0.6219,0.0,0.6219,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659199,573,0.6427,0.0,0.6431,0.63,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659200,574,0.5975,0.0,0.5975,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659200,575,0.5647,0.0,0.5647,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659200,576,0.5894,0.0,0.5894,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659201,577,0.6007,0.0,0.6007,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659201,578,0.6447,0.0,0.6448,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659201,579,0.7398,0.0,0.7398,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659202,580,0.5533,0.0,0.5533,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659202,581,0.6366,0.0,0.6366,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659203,582,0.6009,0.0,0.6009,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659203,583,0.6294,0.0,0.6294,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659203,584,0.7002,0.0,0.7002,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659204,585,0.627,0.0,0.627,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659204,586,0.5858,0.0,0.5858,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659204,587,0.6686,0.0,0.6686,0.63,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659205,588,0.6444,0.0,0.6444,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659205,589,0.6761,0.0,0.6761,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659205,590,0.6345,0.0,0.6345,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659206,591,0.7462,0.0,0.7462,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659206,592,0.6235,0.0,0.6235,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659206,593,0.5911,0.0,0.5911,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659207,594,0.7281,0.0,0.7281,0.57,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659207,595,0.5467,0.0,0.5467,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659208,596,0.6229,0.0,0.6229,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659208,597,0.6976,0.0,0.6976,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659208,598,0.6011,0.0,0.6011,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659209,599,0.5534,0.0,0.5534,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659209,600,0.6566,0.0,0.6566,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659209,601,0.5396,0.0,0.5396,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659210,602,0.5624,0.0,0.5624,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659210,603,0.5648,0.0,0.5648,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659210,604,0.6257,0.0,0.6258,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659211,605,0.5801,0.0,0.5801,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659211,606,0.5766,0.0,0.5766,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659212,607,0.5431,0.0,0.5432,0.83,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659212,608,0.5627,0.0,0.5627,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659212,609,0.5291,0.0,0.5291,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659213,610,0.5095,0.0,0.5096,0.77,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659213,611,0.7035,0.0,0.7036,0.47,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659213,612,0.687,0.0,0.6871,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659214,613,0.5908,0.0,0.5908,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659214,614,0.6065,0.0,0.6065,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659214,615,0.6553,0.0,0.6553,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659215,616,0.6453,0.0,0.6454,0.6,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659215,617,0.6027,0.0,0.6027,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659215,618,0.599,0.0,0.599,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659216,619,0.6729,0.0,0.673,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659216,620,0.7289,0.0,0.7289,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659217,621,0.5771,0.0,0.5771,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659217,622,0.6136,0.0,0.6136,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659217,623,0.5944,0.0,0.5944,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659218,624,0.6512,0.0,0.6513,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659218,625,0.6736,0.0,0.6736,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659218,626,0.6147,0.0,0.6147,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659219,627,0.6239,0.0,0.6239,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659219,628,0.6659,0.0,0.666,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659219,629,0.5768,0.0,0.5768,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659220,630,0.5835,0.0,0.5835,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659220,631,0.6668,0.0,0.6668,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659220,632,0.6208,0.0,0.6208,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659221,633,0.671,0.0,0.671,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659221,634,0.6937,0.0,0.6937,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659222,635,0.6109,0.0,0.6109,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659222,636,0.6386,0.0,0.6386,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659222,637,0.6609,0.0,0.6609,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659223,638,0.7416,0.0,0.7417,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659223,639,0.6701,0.0,0.6701,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659223,640,0.663,0.0,0.6631,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659224,641,0.6584,0.0,0.6584,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659224,642,0.535,0.0,0.535,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659224,643,0.6707,0.0,0.6707,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659225,644,0.6108,0.0,0.6108,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659225,645,0.6365,0.0,0.6365,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659225,646,0.6064,0.0,0.6064,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659226,647,0.5236,0.0,0.5236,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659226,648,0.6324,0.0,0.6324,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659227,649,0.6016,0.0,0.6016,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659227,650,0.5979,0.0,0.5979,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659227,651,0.6461,0.0,0.6461,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659228,652,0.5724,0.0,0.5724,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659228,653,0.5385,0.0,0.5385,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659228,654,0.7036,0.0,0.7036,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659229,655,0.6132,0.0,0.6132,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659229,656,0.632,0.0,0.632,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659229,657,0.5944,0.0,0.5944,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659230,658,0.7811,0.0,0.7812,0.47,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659230,659,0.5088,0.0,0.5088,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659230,660,0.5621,0.0,0.5623,0.7,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659231,661,0.634,0.0,0.634,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659231,662,0.5321,0.0,0.5321,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659232,663,0.627,0.0,0.627,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659232,664,0.5717,0.0,0.5717,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659232,665,0.6141,0.0,0.6141,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659233,666,0.6298,0.0,0.6298,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659233,667,0.6475,0.0,0.6476,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659233,668,0.6192,0.0,0.6192,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659234,669,0.5539,0.0,0.5539,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659234,670,0.6663,0.0,0.6664,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659234,671,0.641,0.0,0.6411,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659235,672,0.5809,0.0,0.5809,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659235,673,0.5538,0.0,0.5538,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659236,674,0.6056,0.0,0.6056,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659236,675,0.5663,0.0,0.5663,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659236,676,0.6637,0.0,0.6637,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659237,677,0.658,0.0,0.658,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659237,678,0.7299,0.0,0.7299,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659237,679,0.6436,0.0,0.6436,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659238,680,0.6191,0.0,0.6191,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659238,681,0.5899,0.0,0.5899,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659238,682,0.5788,0.0,0.5788,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659239,683,0.5608,0.0,0.5608,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659239,684,0.6906,0.0,0.6906,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659239,685,0.5833,0.0,0.5835,0.73,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659240,686,0.6263,0.0,0.6263,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659240,687,0.5884,0.0,0.5884,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659241,688,0.596,0.0,0.596,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659241,689,0.5551,0.0,0.5551,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659241,690,0.7046,0.0,0.7046,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659242,691,0.6912,0.0,0.6912,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659242,692,0.7229,0.0,0.723,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659242,693,0.6858,0.0,0.6858,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659243,694,0.5493,0.0,0.5494,0.8,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659243,695,0.6048,0.0,0.6048,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659243,696,0.6429,0.0,0.6429,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659244,697,0.6453,0.0,0.6453,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659244,698,0.621,0.0,0.621,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659244,699,0.534,0.0,0.534,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659245,700,0.5945,0.0,0.5945,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659245,701,0.5214,0.0,0.5214,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659245,702,0.7589,0.0,0.7589,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659246,703,0.5996,0.0,0.5996,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659246,704,0.6694,0.0,0.6695,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659247,705,0.6035,0.0,0.6035,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659247,706,0.6639,0.0,0.6639,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659247,707,0.6221,0.0,0.6221,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659248,708,0.6636,0.0,0.6636,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659248,709,0.6097,0.0,0.6097,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659248,710,0.6649,0.0,0.6649,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659249,711,0.6996,0.0,0.6996,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659249,712,0.6737,0.0,0.6737,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659249,713,0.5408,0.0,0.5409,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659250,714,0.7082,0.0,0.7082,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659250,715,0.546,0.0,0.546,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659251,716,0.7315,0.0,0.7315,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659251,717,0.6223,0.0,0.6223,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659251,718,0.5326,0.0,0.5326,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659252,719,0.5878,0.0,0.5878,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659252,720,0.6188,0.0,0.6188,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659252,721,0.579,0.0,0.579,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659253,722,0.6844,0.0,0.6844,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659253,723,0.6045,0.0,0.6045,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659253,724,0.5535,0.0,0.5535,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659254,725,0.6193,0.0,0.6193,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659254,726,0.6929,0.0,0.6929,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659255,727,0.5303,0.0,0.5303,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659255,728,0.6814,0.0,0.6814,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659255,729,0.5247,0.0,0.5247,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659256,730,0.479,0.0,0.479,0.9,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659256,731,0.5581,0.0,0.5581,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659256,732,0.6245,0.0,0.6245,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659257,733,0.6532,0.0,0.6532,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659257,734,0.6102,0.0,0.6102,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659257,735,0.6194,0.0,0.6194,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659258,736,0.6221,0.0,0.6221,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659258,737,0.6708,0.0,0.6708,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659259,738,0.6368,0.0,0.6368,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659259,739,0.6049,0.0,0.6049,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659259,740,0.5206,0.0,0.5206,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659260,741,0.5856,0.0,0.5856,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659260,742,0.5885,0.0,0.5885,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659260,743,0.5408,0.0,0.5408,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659261,744,0.6383,0.0,0.6383,0.6,0.0,1.0
